date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI,month,month_sin,month_cos
2024-04-06,28.5,14.6,21.5,0.0,15.9,19.041666666666668,31.9875,558.875,27.5375,7.0125,87.08333333333333,81.04166666666667,4,0.8660254037844388,-0.4999999999999998
2024-04-07,29.8,14.4,22.0,0.0,12.1,16.6875,26.77916666666667,633.7083333333334,34.09166666666667,5.420833333333333,70.25,72.95833333333333,4,0.8660254037844388,-0.4999999999999998
2024-04-08,30.7,15.8,22.4,0.0,12.9,18.22083333333333,29.066666666666663,603.625,30.48333333333333,6.870833333333334,80.79166666666667,78.625,4,0.8660254037844388,-0.4999999999999998
2024-04-09,31.3,15.9,23.6,0.0,11.6,13.120833333333332,20.416666666666668,488.2916666666667,21.829166666666666,5.995833333333334,88.08333333333333,74.125,4,0.8660254037844388,-0.4999999999999998
2024-04-10,30.4,17.2,23.7,1.2,14.0,19.691666666666663,31.929166666666664,546.625,25.6875,9.1625,80.125,69.45833333333333,4,0.8660254037844388,-0.4999999999999998
2024-04-11,27.7,16.0,21.6,3.3,17.3,29.320833333333336,53.5875,623.7083333333334,32.358333333333334,8.875,86.95833333333333,89.5,4,0.8660254037844388,-0.4999999999999998
2024-04-12,30.5,17.2,23.3,1.0,16.2,28.59166666666667,62.28333333333333,457.9583333333333,19.70833333333333,6.591666666666666,90.83333333333331,90.79166666666669,4,0.8660254037844388,-0.4999999999999998
2024-04-13,22.6,16.4,19.4,3.9,26.3,32.68333333333333,72.03333333333333,383.125,16.95,6.2,87.54166666666667,90.125,4,0.8660254037844388,-0.4999999999999998
2024-04-14,23.0,16.0,18.9,7.5,15.8,36.583333333333336,76.2375,444.9583333333333,20.416666666666668,6.379166666666666,90.625,93.66666666666669,4,0.8660254037844388,-0.4999999999999998
2024-04-15,23.4,14.3,18.3,35.1,16.7,24.754166666666663,47.75416666666666,468.5833333333333,23.416666666666668,3.6625,65.58333333333333,100.08333333333331,4,0.8660254037844388,-0.4999999999999998
2024-04-16,26.0,13.1,19.7,0.0,14.9,21.22083333333333,41.60833333333333,478.5,23.5125,5.7875000000000005,85.25,77.125,4,0.8660254037844388,-0.4999999999999998
2024-04-17,27.8,16.8,22.2,0.0,14.1,26.34166666666667,41.3875,878.1666666666666,43.72916666666666,8.466666666666667,66.20833333333333,78.08333333333333,4,0.8660254037844388,-0.4999999999999998
2024-04-18,23.2,17.1,19.9,19.7,17.2,19.34583333333333,36.275,494.25,24.766666666666666,5.254166666666666,75.75,81.41666666666667,4,0.8660254037844388,-0.4999999999999998
2024-04-19,23.4,15.7,18.3,33.2,25.0,21.604166666666668,56.46666666666667,435.4583333333333,23.754166666666663,4.6125,66.58333333333333,69.125,4,0.8660254037844388,-0.4999999999999998
2024-04-20,24.9,14.6,19.2,1.9,18.1,23.004166666666663,64.175,714.0416666666666,29.366666666666664,5.808333333333334,66.41666666666667,72.58333333333333,4,0.8660254037844388,-0.4999999999999998
2024-04-21,27.9,15.2,21.1,0.1,14.8,20.808333333333334,45.35833333333333,822.5,41.30416666666667,5.675,60.04166666666666,80.58333333333333,4,0.8660254037844388,-0.4999999999999998
2024-04-22,27.0,16.6,21.4,0.6,12.8,17.537499999999998,28.65416666666667,701.7916666666666,34.90833333333333,6.1625000000000005,70.58333333333333,73.79166666666667,4,0.8660254037844388,-0.4999999999999998
2024-04-23,28.6,17.0,22.6,0.4,11.9,22.0,35.28333333333333,599.3333333333334,32.395833333333336,5.370833333333334,75.33333333333333,78.79166666666667,4,0.8660254037844388,-0.4999999999999998
2024-04-24,28.0,17.1,22.4,1.3,17.7,24.55,38.7,641.5416666666666,33.72083333333333,7.6375,81.70833333333333,90.75,4,0.8660254037844388,-0.4999999999999998
2024-04-25,31.4,17.8,24.7,0.0,13.6,16.570833333333333,26.40416666666667,582.5833333333334,29.525,5.3500000000000005,82.75,79.5,4,0.8660254037844388,-0.4999999999999998
2024-04-26,29.7,18.8,22.3,2.2,25.3,23.641666666666666,37.92916666666667,601.7083333333334,26.9625,7.891666666666667,87.45833333333333,78.83333333333333,4,0.8660254037844388,-0.4999999999999998
2024-04-27,20.7,16.5,18.6,17.2,15.8,21.266666666666666,47.05,330.9166666666667,16.091666666666665,4.316666666666666,90.95833333333331,75.75,4,0.8660254037844388,-0.4999999999999998
2024-04-28,24.6,16.3,18.9,11.9,19.3,18.70833333333333,38.44166666666667,278.7916666666667,10.820833333333333,3.9875,102.91666666666669,72.125,4,0.8660254037844388,-0.4999999999999998
2024-04-29,22.2,13.8,17.4,19.0,17.3,22.825,49.70416666666667,348.625,16.420833333333334,4.4125,91.83333333333331,70.41666666666667,4,0.8660254037844388,-0.4999999999999998
2024-04-30,23.2,12.1,17.7,0.0,23.2,15.045833333333334,29.27083333333333,443.4166666666667,22.725,5.15,79.91666666666667,75.0,4,0.8660254037844388,-0.4999999999999998
2024-05-01,25.6,12.5,19.2,0.0,13.1,22.166666666666668,37.16666666666666,672.1666666666666,40.175,7.425,84.75,86.16666666666667,5,0.49999999999999994,-0.8660254037844387
2024-05-02,28.3,14.3,21.6,0.0,11.2,24.383333333333336,37.083333333333336,730.2083333333334,37.954166666666666,6.683333333333334,88.0,90.58333333333331,5,0.49999999999999994,-0.8660254037844387
2024-05-03,28.2,16.5,22.7,0.0,16.2,31.366666666666664,48.25,757.75,36.67916666666667,10.275,86.41666666666667,91.625,5,0.49999999999999994,-0.8660254037844387
2024-05-04,29.4,16.8,22.9,3.2,20.3,27.854166666666668,56.625,599.9166666666666,29.59166666666667,6.458333333333333,80.29166666666667,92.0,5,0.49999999999999994,-0.8660254037844387
2024-05-05,30.0,19.4,24.5,0.0,17.2,18.04583333333333,37.29583333333333,692.375,37.225,5.7375,70.95833333333333,85.45833333333333,5,0.49999999999999994,-0.8660254037844387
